table_name,row_count,column_count,output_path
aircraft,30726,93,data\processed\ntsb_full_export\aircraft.csv
Country,262,2,data\processed\ntsb_full_export\Country.csv
ct_iaids,955,11,data\processed\ntsb_full_export\ct_iaids.csv
ct_seqevt,2224,2,data\processed\ntsb_full_export\ct_seqevt.csv
dt_aircraft,261507,6,data\processed\ntsb_full_export\dt_aircraft.csv
dt_events,112967,5,data\processed\ntsb_full_export\dt_events.csv
dt_Flight_Crew,173638,7,data\processed\ntsb_full_export\dt_Flight_Crew.csv
eADMSPUB_DataDictionary,4574,13,data\processed\ntsb_full_export\eADMSPUB_DataDictionary.csv
engines,27723,17,data\processed\ntsb_full_export\engines.csv
events,30212,73,data\processed\ntsb_full_export\events.csv
Events_Sequence,64642,10,data\processed\ntsb_full_export\Events_Sequence.csv
Findings,70874,14,data\processed\ntsb_full_export\Findings.csv
Flight_Crew,31545,33,data\processed\ntsb_full_export\Flight_Crew.csv
flight_time,396507,8,data\processed\ntsb_full_export\flight_time.csv
injury,173347,7,data\processed\ntsb_full_export\injury.csv
narratives,27852,8,data\processed\ntsb_full_export\narratives.csv
NTSB_Admin,30212,5,data\processed\ntsb_full_export\NTSB_Admin.csv
Occurrences,0,8,data\processed\ntsb_full_export\Occurrences.csv
seq_of_events,0,11,data\processed\ntsb_full_export\seq_of_events.csv
states,51,3,data\processed\ntsb_full_export\states.csv
